,reportname,modelpath,dataitem,filtername
0,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[CONTACT_IOT],
1,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[CONTACT_SECTOR_NAME],
2,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[CONTACT_ACCOUNT_NAME],
3,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[MTAS_ACCOUNT_NAME],
4,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[CYCLE_DATE],
5,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[ACTIVE_STATUS],
6,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[LAST_UPDATE_TS],
7,aSD_REPORT,/content/folder[@name='NA']/folder[@name='GTS Metrics Project']/folder[@name='Packages']/folder[@name='Framework Package']/package[@name='FPK_GTSM']/model[@name='2017-06-09T10:06:57.109Z'],,
8,aSD_REPORT,,,
9,aSD_REPORT,,,[MTAS_ACCOUNT_NAME] is not null
10,aSD_REPORT,,,[ACTIVE_STATUS] = 'A'
11,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[CONTACT_IOT],
12,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[CONTACT_SECTOR_NAME],
13,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[CONTACT_ACCOUNT_NAME],
14,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[MTAS_ACCOUNT_NAME],
15,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[CYCLE_DATE],
16,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[ACTIVE_STATUS],
17,aSD_REPORT,,[GTS Metrics].[PULSE_DATA_T].[LAST_UPDATE_TS],
18,aSD_REPORT,/content/folder[@name='NA']/folder[@name='GTS Metrics Project']/folder[@name='Packages']/folder[@name='Framework Package']/package[@name='FPK_GTSM']/model[@name='2017-06-09T10:06:57.109Z'],,
19,aSD_REPORT,,,
20,aSD_REPORT,,,[MTAS_ACCOUNT_NAME] is not null
21,aSD_REPORT,,,[ACTIVE_STATUS] = 'A'
22,aSD_REPORT,,[Business View].[B_TABLE].[CONTRACTS],
23,aSD_REPORT,,[Business View].[B_TABLE].[AFFILIATE_NUMBER],
24,aSD_REPORT,,[Business View].[C_TABLE].[COVERAGE_ID],
25,aSD_REPORT,,[Business View].[C_TABLE].[Validated Rev Target],
26,aSD_REPORT,,[Business View].[C_TABLE].[Validated GP Target],
27,aSD_REPORT,,"case when [Business View].[D_TABLE].[COV_ID] is null
then [Business View].[D_TABLE].[CONTRACTS]
else [Business View].[D_TABLE].[COV_ID]
end",
28,aSD_REPORT,,[Business View].[D_TABLE].[30 Revenue Majors],
29,aSD_REPORT,,[Business View].[D_TABLE].[Q3 - Rev Majors],
30,aSD_REPORT,,[Business View].[D_TABLE].[Q4 - Rev Majors],
31,aSD_REPORT,,[Business View].[D_TABLE].[30 GP BCP],
32,aSD_REPORT,,[Business View].[D_TABLE].[Q3 - GP BCP],
33,aSD_REPORT,,[Business View].[D_TABLE].[Q4 - GP BCP],
34,aSD_REPORT,,[Business View].[D_TABLE].[30 GP BMC],
35,aSD_REPORT,,[Business View].[D_TABLE].[Q3 - GP BMC],
36,aSD_REPORT,,[Business View].[D_TABLE].[Q4 - GP BMC],
37,aSD_REPORT,,"case when 
[Business View].[E1_TABLE].[COV_ID] is null
then [Business View].[E1_TABLE].[CONTRACTS]
else [Business View].[E1_TABLE].[COV_ID]
end",
38,aSD_REPORT,,[Business View].[E1_TABLE].[30 Total 6 mo XaaS],
39,aSD_REPORT,,[Business View].[E1_TABLE].[30 Total 12 mo XaaS],
40,aSD_REPORT,,[Business View].[E2_TABLE].[COV_ID],
41,aSD_REPORT,,[Business View].[E2_TABLE].[TOTAL_6_MO_XAAS],
42,aSD_REPORT,,[Business View].[E2_TABLE].[TOTAL_12_MO_XAAS],
